,date,prcp,month
2675,2017-07-03,0.04,2017-07-03 00:00:00
2676,2017-07-04,0.04,2017-07-04 00:00:00
2677,2017-07-05,0.0,2017-07-05 00:00:00
2678,2017-07-06,0.0,2017-07-06 00:00:00
2679,2017-07-07,0.0,2017-07-07 00:00:00
2680,2017-07-08,0.0,2017-07-08 00:00:00
2681,2017-07-09,0.0,2017-07-09 00:00:00
2682,2017-07-10,0.0,2017-07-10 00:00:00
2683,2017-07-11,0.0,2017-07-11 00:00:00
2684,2017-07-12,0.0,2017-07-12 00:00:00
2685,2017-07-13,0.07,2017-07-13 00:00:00
2686,2017-07-14,0.02,2017-07-14 00:00:00
2687,2017-07-15,0.0,2017-07-15 00:00:00
2688,2017-07-16,0.02,2017-07-16 00:00:00
2689,2017-07-17,0.03,2017-07-17 00:00:00
2690,2017-07-18,0.05,2017-07-18 00:00:00
2691,2017-07-20,0.03,2017-07-20 00:00:00
2692,2017-07-21,0.0,2017-07-21 00:00:00
2693,2017-07-22,0.03,2017-07-22 00:00:00
2694,2017-07-23,0.0,2017-07-23 00:00:00
2695,2017-07-24,0.05,2017-07-24 00:00:00
2696,2017-07-25,0.0,2017-07-25 00:00:00
2697,2017-07-26,0.0,2017-07-26 00:00:00
2698,2017-07-27,0.0,2017-07-27 00:00:00
2699,2017-07-28,0.0,2017-07-28 00:00:00
2700,2017-07-29,0.0,2017-07-29 00:00:00
2701,2017-07-30,0.0,2017-07-30 00:00:00
2702,2017-07-31,0.0,2017-07-31 00:00:00
2703,2017-08-01,0.02,2017-08-01 00:00:00
2704,2017-08-02,0.0,2017-08-02 00:00:00
2705,2017-08-03,0.0,2017-08-03 00:00:00
2706,2017-08-04,0.02,2017-08-04 00:00:00
2707,2017-08-05,0.0,2017-08-05 00:00:00
2708,2017-08-06,0.0,2017-08-06 00:00:00
2709,2017-08-07,0.0,2017-08-07 00:00:00
2710,2017-08-08,0.0,2017-08-08 00:00:00
2711,2017-08-09,0.0,2017-08-09 00:00:00
2712,2017-08-10,0.0,2017-08-10 00:00:00
2713,2017-08-11,0.0,2017-08-11 00:00:00
2714,2017-08-12,0.0,2017-08-12 00:00:00
2715,2017-08-13,0.0,2017-08-13 00:00:00
2716,2017-08-14,0.0,2017-08-14 00:00:00
2717,2017-08-15,0.02,2017-08-15 00:00:00
2718,2017-08-18,0.0,2017-08-18 00:00:00
2719,2017-08-19,0.0,2017-08-19 00:00:00
2720,2017-08-20,0.0,2017-08-20 00:00:00
2721,2017-08-21,0.0,2017-08-21 00:00:00
2722,2017-08-22,0.0,2017-08-22 00:00:00
2723,2017-08-23,0.0,2017-08-23 00:00:00
5090,2016-08-23,0.15,2016-08-23 00:00:00
5091,2016-08-24,2.15,2016-08-24 00:00:00
5092,2016-08-25,0.08,2016-08-25 00:00:00
5093,2016-08-26,0.03,2016-08-26 00:00:00
5094,2016-08-27,0.18,2016-08-27 00:00:00
5095,2016-08-28,0.14,2016-08-28 00:00:00
5096,2016-08-29,0.17,2016-08-29 00:00:00
5097,2016-08-30,0.0,2016-08-30 00:00:00
5098,2016-08-31,0.1,2016-08-31 00:00:00
5099,2016-09-01,0.0,2016-09-01 00:00:00
5100,2016-09-02,0.02,2016-09-02 00:00:00
5101,2016-09-03,0.07,2016-09-03 00:00:00
5102,2016-09-04,0.03,2016-09-04 00:00:00
5103,2016-09-05,0.11,2016-09-05 00:00:00
5104,2016-09-06,0.05,2016-09-06 00:00:00
5105,2016-09-07,0.1,2016-09-07 00:00:00
5106,2016-09-08,0.22,2016-09-08 00:00:00
5107,2016-09-09,0.01,2016-09-09 00:00:00
5108,2016-09-10,0.01,2016-09-10 00:00:00
5109,2016-09-11,0.18,2016-09-11 00:00:00
5110,2016-09-12,0.04,2016-09-12 00:00:00
5111,2016-09-13,0.37,2016-09-13 00:00:00
5112,2016-09-14,0.9,2016-09-14 00:00:00
5113,2016-09-15,0.12,2016-09-15 00:00:00
5114,2016-09-16,0.01,2016-09-16 00:00:00
5115,2016-09-17,0.04,2016-09-17 00:00:00
5116,2016-09-18,0.0,2016-09-18 00:00:00
5117,2016-09-19,0.01,2016-09-19 00:00:00
5118,2016-09-20,0.09,2016-09-20 00:00:00
5119,2016-09-21,0.06,2016-09-21 00:00:00
5120,2016-09-22,0.09,2016-09-22 00:00:00
5121,2016-09-23,0.15,2016-09-23 00:00:00
5122,2016-09-24,0.0,2016-09-24 00:00:00
5123,2016-09-25,0.02,2016-09-25 00:00:00
5124,2016-09-26,0.06,2016-09-26 00:00:00
5125,2016-09-27,0.12,2016-09-27 00:00:00
5126,2016-09-28,0.08,2016-09-28 00:00:00
5127,2016-09-29,0.49,2016-09-29 00:00:00
5128,2016-09-30,0.31,2016-09-30 00:00:00
5129,2016-10-01,0.14,2016-10-01 00:00:00
5130,2016-10-02,0.02,2016-10-02 00:00:00
5131,2016-10-03,0.04,2016-10-03 00:00:00
5132,2016-10-04,0.0,2016-10-04 00:00:00
5133,2016-10-05,0.0,2016-10-05 00:00:00
5134,2016-10-06,0.05,2016-10-06 00:00:00
5135,2016-10-07,0.0,2016-10-07 00:00:00
5136,2016-10-08,0.0,2016-10-08 00:00:00
5137,2016-10-09,0.0,2016-10-09 00:00:00
5138,2016-10-10,0.0,2016-10-10 00:00:00
5139,2016-10-11,0.02,2016-10-11 00:00:00
5140,2016-10-12,0.03,2016-10-12 00:00:00
5141,2016-10-13,0.0,2016-10-13 00:00:00
5142,2016-10-14,0.0,2016-10-14 00:00:00
5143,2016-10-15,0.0,2016-10-15 00:00:00
5144,2016-10-16,0.0,2016-10-16 00:00:00
5145,2016-10-17,0.03,2016-10-17 00:00:00
5146,2016-10-18,0.05,2016-10-18 00:00:00
5147,2016-10-19,0.06,2016-10-19 00:00:00
5148,2016-10-20,0.0,2016-10-20 00:00:00
5149,2016-10-21,0.15,2016-10-21 00:00:00
5150,2016-10-22,0.1,2016-10-22 00:00:00
5151,2016-10-23,0.01,2016-10-23 00:00:00
5152,2016-10-24,0.0,2016-10-24 00:00:00
5153,2016-10-25,0.04,2016-10-25 00:00:00
5154,2016-10-26,0.06,2016-10-26 00:00:00
5155,2016-10-27,0.11,2016-10-27 00:00:00
5156,2016-10-28,0.02,2016-10-28 00:00:00
5157,2016-10-29,0.02,2016-10-29 00:00:00
5158,2016-10-30,0.1,2016-10-30 00:00:00
5159,2016-10-31,0.03,2016-10-31 00:00:00
5160,2016-11-01,0.01,2016-11-01 00:00:00
5161,2016-11-02,0.0,2016-11-02 00:00:00
5162,2016-11-03,0.0,2016-11-03 00:00:00
5163,2016-11-04,0.0,2016-11-04 00:00:00
5164,2016-11-05,0.02,2016-11-05 00:00:00
5165,2016-11-06,0.02,2016-11-06 00:00:00
5166,2016-11-07,0.0,2016-11-07 00:00:00
5167,2016-11-08,0.14,2016-11-08 00:00:00
5168,2016-11-09,0.08,2016-11-09 00:00:00
5169,2016-11-10,0.0,2016-11-10 00:00:00
5170,2016-11-11,0.0,2016-11-11 00:00:00
5171,2016-11-12,0.0,2016-11-12 00:00:00
5172,2016-11-13,0.0,2016-11-13 00:00:00
5173,2016-11-14,0.06,2016-11-14 00:00:00
5174,2016-11-15,0.0,2016-11-15 00:00:00
5175,2016-11-16,0.14,2016-11-16 00:00:00
5176,2016-11-17,0.03,2016-11-17 00:00:00
5177,2016-11-18,0.01,2016-11-18 00:00:00
5178,2016-11-19,0.11,2016-11-19 00:00:00
5179,2016-11-20,0.11,2016-11-20 00:00:00
5180,2016-11-21,0.02,2016-11-21 00:00:00
5181,2016-11-22,0.41,2016-11-22 00:00:00
5182,2016-11-23,0.03,2016-11-23 00:00:00
5183,2016-11-24,0.2,2016-11-24 00:00:00
5184,2016-11-25,0.05,2016-11-25 00:00:00
5185,2016-11-26,0.05,2016-11-26 00:00:00
5186,2016-11-27,0.06,2016-11-27 00:00:00
5187,2016-11-28,0.02,2016-11-28 00:00:00
5188,2016-11-29,0.04,2016-11-29 00:00:00
5189,2016-11-30,0.05,2016-11-30 00:00:00
5190,2016-12-01,0.33,2016-12-01 00:00:00
5191,2016-12-02,0.3,2016-12-02 00:00:00
5192,2016-12-03,0.04,2016-12-03 00:00:00
5193,2016-12-04,0.1,2016-12-04 00:00:00
5194,2016-12-05,0.34,2016-12-05 00:00:00
5195,2016-12-06,0.02,2016-12-06 00:00:00
5196,2016-12-07,0.17,2016-12-07 00:00:00
5197,2016-12-08,0.03,2016-12-08 00:00:00
5198,2016-12-09,0.34,2016-12-09 00:00:00
5199,2016-12-10,0.02,2016-12-10 00:00:00
5200,2016-12-11,0.02,2016-12-11 00:00:00
5201,2016-12-12,0.01,2016-12-12 00:00:00
5202,2016-12-13,0.1,2016-12-13 00:00:00
5203,2016-12-14,0.05,2016-12-14 00:00:00
5204,2016-12-15,0.02,2016-12-15 00:00:00
5205,2016-12-16,0.01,2016-12-16 00:00:00
5206,2016-12-17,0.11,2016-12-17 00:00:00
5207,2016-12-18,0.29,2016-12-18 00:00:00
5208,2016-12-19,0.21,2016-12-19 00:00:00
5209,2016-12-20,0.02,2016-12-20 00:00:00
5210,2016-12-21,0.03,2016-12-21 00:00:00
5211,2016-12-22,0.17,2016-12-22 00:00:00
5212,2016-12-23,0.1,2016-12-23 00:00:00
5213,2016-12-24,0.14,2016-12-24 00:00:00
5214,2016-12-25,0.03,2016-12-25 00:00:00
5215,2016-12-26,0.26,2016-12-26 00:00:00
5216,2016-12-27,0.03,2016-12-27 00:00:00
5217,2016-12-28,0.09,2016-12-28 00:00:00
5218,2016-12-29,0.18,2016-12-29 00:00:00
5219,2016-12-30,0.21,2016-12-30 00:00:00
5220,2016-12-31,0.62,2016-12-31 00:00:00
5221,2017-01-01,0.29,2017-01-01 00:00:00
5222,2017-01-02,0.0,2017-01-02 00:00:00
5223,2017-01-03,0.0,2017-01-03 00:00:00
5224,2017-01-04,0.0,2017-01-04 00:00:00
5225,2017-01-05,0.0,2017-01-05 00:00:00
